Name,URL,Description,Language,Stars,Archived
facebookresearch/algonauts-2025,https://github.com/facebookresearch/algonauts-2025,Training and evaluating encoding models to predict fMRI brain responses to naturalistic video stimuli,Python,240,False
ByteDance-Seed/m3-agent,https://github.com/ByteDance-Seed/m3-agent,,Python,317,False
AmintaCCCP/GithubStarsManager,https://github.com/AmintaCCCP/GithubStarsManager,An app for managing github starred repositories. ,TypeScript,619,False
langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",TypeScript,15094,False
facebookresearch/dinov3,https://github.com/facebookresearch/dinov3,Reference PyTorch implementation and models for DINOv3,Jupyter Notebook,4563,False
isaacs/node-glob,https://github.com/isaacs/node-glob,glob functionality for node.js,TypeScript,8639,False
acornjs/acorn,https://github.com/acornjs/acorn,"A small, fast, JavaScript-based JavaScript parser",JavaScript,11066,False
Bistutu/FluentRead,https://github.com/Bistutu/FluentRead,Open Immersive Translate. A revolutionary open-source browser translation plugin that enables everyone to have a native-like reading experience. 开源的沉浸式翻译，一款革命性的浏览器翻译插件，让所有人都能够拥有母语般的阅读体验。,TypeScript,4807,False
sqls-server/sqls,https://github.com/sqls-server/sqls,SQL language server written in Go.,Go,1171,False
QwenLM/Qwen3-Coder,https://github.com/QwenLM/Qwen3-Coder,"Qwen3-Coder is the code version of Qwen3, the large language model series developed by Qwen team, Alibaba Cloud.",Python,12246,False
zitadel/zitadel,https://github.com/zitadel/zitadel,"ZITADEL - Identity infrastructure, simplified for you.",Go,11501,False
runtipi/runtipi,https://github.com/runtipi/runtipi,"Runtipi is a homeserver for everyone! One command setup, one click installs for your favorites self-hosted apps. ✨",TypeScript,8749,False
zumerlab/snapdom,https://github.com/zumerlab/snapdom,snapDOM captures HTML elements to images with exceptional speed and accuracy.,JavaScript,5392,False
lfnovo/open-notebook,https://github.com/lfnovo/open-notebook,An Open Source implementation of Notebook LM with more flexibility and features,Python,3626,False
lfnovo/esperanto,https://github.com/lfnovo/esperanto,A unified interface for various AI model providers,Python,23,False
steveiliop56/tinyauth,https://github.com/steveiliop56/tinyauth,The simplest way to protect your apps with a login screen.,Go,4914,False
th-ch/youtube-music,https://github.com/th-ch/youtube-music,YouTube Music Desktop App bundled with custom plugins,TypeScript,27039,False
hexojs/hexo,https://github.com/hexojs/hexo,"A fast, simple & powerful blog framework, powered by Node.js.",TypeScript,40659,False
Eikanya/Live2d-model,https://github.com/Eikanya/Live2d-model,Live2d model collection,Mathematica,2664,False
xfgryujk/blivechat,https://github.com/xfgryujk/blivechat,用于OBS的仿YouTube风格的bilibili直播评论栏,JavaScript,2462,False
xfgryujk/blivedm,https://github.com/xfgryujk/blivedm,获取bilibili直播弹幕，使用WebSocket协议，支持web端和B站直播开放平台两种接口,Python,1213,False
elicit/machine-learning-list,https://github.com/elicit/machine-learning-list,"A curriculum for learning about foundation models, from scratch to the frontier",N/A,1350,False
prisma/prisma,https://github.com/prisma/prisma,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",TypeScript,43524,False
netbirdio/netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",Go,18144,False
colinhacks/zod,https://github.com/colinhacks/zod,TypeScript-first schema validation with static type inference,TypeScript,39560,False
browserbase/stagehand,https://github.com/browserbase/stagehand,The AI Browser Automation Framework,TypeScript,16418,False
tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",Go,24301,False
Open-LLM-VTuber/Open-LLM-VTuber-Unity,https://github.com/Open-LLM-VTuber/Open-LLM-VTuber-Unity,,C#,30,False
suno-ai/bark,https://github.com/suno-ai/bark,🔊 Text-Prompted Generative Audio Model,Jupyter Notebook,38378,False
modelscope/FunASR,https://github.com/modelscope/FunASR,"A Fundamental End-to-End Speech Recognition Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Recognition, Voice Activity Detection, Text Post-processing etc.",Python,12078,False
prefix-dev/pixi,https://github.com/prefix-dev/pixi,Package management made easy,Rust,5056,False
k2-fsa/sherpa-onnx,https://github.com/k2-fsa/sherpa-onnx,"Speech-to-text, text-to-speech, speaker diarization, speech enhancement, source separation, and VAD using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, HarmonyOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, support 12 programming languages",C++,7087,False
facebook/docusaurus,https://github.com/facebook/docusaurus,Easy to maintain open source documentation websites.,TypeScript,61334,False
Open-LLM-VTuber/Open-LLM-VTuber-Web,https://github.com/Open-LLM-VTuber/Open-LLM-VTuber-Web,The Web/Electron frontend for Open-LLM-VTuber Project,TypeScript,88,False
ylxmf2005/LLM-Live2D-Desktop-Assitant,https://github.com/ylxmf2005/LLM-Live2D-Desktop-Assitant,"Your Live2D desktop assistant powered by LLM! Available for both Windows and MacOS, it senses your screen, retrieves clipboard content, and responds to voice commands with a unique voice. Featuring voice wake-up, singing capabilities, and full computer control for seamless interaction with your favorite character.",Python,102,False
shareAI-lab/analysis_claude_code,https://github.com/shareAI-lab/analysis_claude_code,本仓库包含对 Claude Code v1.0.33 进行逆向工程的完整研究和分析资料。包括对混淆源代码的深度技术分析、系统架构文档，以及重构 Claude      Code agent 系统的实现蓝图。主要发现包括实时 Steering 机制、多 Agent      架构、智能上下文管理和工具执行管道。该项目为理解现代 AI agent 系统设计和实现提供技术参考。,JavaScript,9003,True
anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",TypeScript,30304,False
openai/gpt-oss,https://github.com/openai/gpt-oss,gpt-oss-120b and gpt-oss-20b are two open-weight language models by OpenAI,Python,17381,False
albertlauncher/albert,https://github.com/albertlauncher/albert,A fast and flexible keyboard launcher,C++,7665,False
m1k1o/neko,https://github.com/m1k1o/neko,A self hosted virtual browser that runs in docker and uses WebRTC.,Go,14901,False
